Entity,Year,Annual CO2 Emissions from Oil,Annual CO2 Emissions from Coal,Annual CO2 Emissions from Cement,Annual CO2 Emissions from Gas,Annual CO2 Emissions from Flaring,Annual CO2 Emissions from Other Industries,Electricity_Generation,Coal,Gas,Hydro,Solar,Wind,Oil,Nuclear,Other renewables,Bioenergy,sector,sub_sector,number_of_electricity_accounts,sector_ng,sub_sector_ng,ng_consumption_tj
Singapore,2006,34067870.0,29312.0,0.0,12373328.0,0.0,0.0,38.4811773049646,0.0,62.81883,0.0,0.0,0.0,37.181175,0.0,0.0,0.0,Industrial-related,Manufacturing,8320,,,
Singapore,2006,34067870.0,29312.0,0.0,12373328.0,0.0,0.0,38.4811773049646,0.0,62.81883,0.0,0.0,0.0,37.181175,0.0,0.0,0.0,Industrial-related,Other Industrial-related,180,,,
Singapore,2006,34067870.0,29312.0,0.0,12373328.0,0.0,0.0,38.4811773049646,0.0,62.81883,0.0,0.0,0.0,37.181175,0.0,0.0,0.0,Industrial-related,Utilities,970,,,
Singapore,2006,34067870.0,29312.0,0.0,12373328.0,0.0,0.0,38.4811773049646,0.0,62.81883,0.0,0.0,0.0,37.181175,0.0,0.0,0.0,Others,Others,29240,,,
Singapore,2006,34067870.0,29312.0,0.0,12373328.0,0.0,0.0,38.4811773049646,0.0,62.81883,0.0,0.0,0.0,37.181175,0.0,0.0,0.0,Overall,Overall,1238460,,,
Singapore,2006,34067870.0,29312.0,0.0,12373328.0,0.0,0.0,38.4811773049646,0.0,62.81883,0.0,0.0,0.0,37.181175,0.0,0.0,0.0,Transport-Related,Transport-related,2540,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,8700,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,105200,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Commerce and Services-related,Financial and Insurance Activities,4010,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Commerce and Services-related,Information and Communications,9110,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Commerce and Services-related,Other Commerce and Services-related,21560,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",9110,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Commerce and Services-related,Real Estate Activities,20420,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Commerce and Services-related,Wholesale and Retail Trade,32280,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Households,Households,1101230,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Industrial-related,Construction,6160,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Industrial-related,Industrial-related,16080,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Industrial-related,Manufacturing,8760,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Industrial-related,Other Industrial-related,190,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Industrial-related,Utilities,980,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Others,Others,27620,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Overall,Overall,1252830,,,
Singapore,2007,33881010.0,51296.0,0.0,13252688.0,0.0,0.0,39.48139007092209,0.0,67.23007,0.0,0.0,0.0,32.769928,0.0,0.0,0.0,Transport-Related,Transport-related,2710,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,9310,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Commerce and Services-related,Commerce and Services-related,107050,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Commerce and Services-related,Financial and Insurance Activities,4110,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Commerce and Services-related,Information and Communications,9290,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Commerce and Services-related,Other Commerce and Services-related,22590,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",9500,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Commerce and Services-related,Real Estate Activities,19660,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Commerce and Services-related,Wholesale and Retail Trade,32600,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Households,Households,1117660,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Industrial-related,Construction,7360,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Industrial-related,Industrial-related,17820,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Industrial-related,Manufacturing,9230,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Industrial-related,Other Industrial-related,220,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Industrial-related,Utilities,1010,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Others,Others,25090,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Overall,Overall,1270470,,,
Singapore,2008,46394396.0,32974.0,0.0,13563300.0,0.0,0.0,40.48160283687935,0.0,69.29955,0.0,0.0,0.0,30.700449,0.0,0.0,0.0,Transport-Related,Transport-related,2850,,,
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Industrial-related,Manufacturing,29960.9
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Industrial-related,Construction,132.2
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Industrial-related,Utilities,320.3
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Industrial-related,Other Industrial-related,0.0
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Commerce and Service-related,Wholesale and Retail Trade,116.7
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Commerce and Service-related,Accommodation and Food Services,2060.9
Singapore,2009,29390112.0,32974.0,0.0,13709523.0,0.0,0.0,41.48181560283683,0.0,70.17544,0.0,0.0,0.0,29.82456,0.0,0.0,0.0,Commerce and Services-related,Accommodation and Food Services,10000,Commerce and Service-related,Information and Communications,0.0
