year,sector,sub_sector,number_of_electricity_accounts
2013,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",11250
2013,Commerce and Services-related,Real Estate Activities,20040
2013,Commerce and Services-related,Wholesale and Retail Trade,35700
2013,Households,Households,1213600
2013,Industrial-related,Construction,9570
2013,Industrial-related,Industrial-related,21430
2013,Industrial-related,Manufacturing,10440
2013,Industrial-related,Other Industrial-related,290
2013,Industrial-related,Utilities,1130
2013,Others,Others,17360
2013,Overall,Overall,1376220
2013,Transport-Related,Transport-related,3140
2014,Commerce and Services-related,Accommodation and Food Services,12540
2014,Commerce and Services-related,Commerce and Services-related,124730
2014,Commerce and Services-related,Financial and Insurance Activities,4660
2014,Commerce and Services-related,Information and Communications,10730
2014,Commerce and Services-related,Other Commerce and Services-related,27340
2014,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",11720
2014,Commerce and Services-related,Real Estate Activities,21710
2014,Commerce and Services-related,Wholesale and Retail Trade,36030
2014,Households,Households,1262320
2014,Industrial-related,Construction,10050
2014,Industrial-related,Industrial-related,22420
2014,Industrial-related,Manufacturing,10760
2014,Industrial-related,Other Industrial-related,410
2014,Industrial-related,Utilities,1200
2014,Others,Others,16870
2014,Overall,Overall,1429650
2014,Transport-Related,Transport-related,3320
2015,Commerce and Services-related,Accommodation and Food Services,14800
2015,Commerce and Services-related,Commerce and Services-related,125420
2015,Commerce and Services-related,Financial and Insurance Activities,4760
2015,Commerce and Services-related,Information and Communications,10990
2015,Commerce and Services-related,Other Commerce and Services-related,24540
2015,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",12050
2015,Commerce and Services-related,Real Estate Activities,22190
2015,Commerce and Services-related,Wholesale and Retail Trade,36090
2015,Households,Households,1305960
2015,Industrial-related,Construction,10430
2015,Industrial-related,Industrial-related,23200
2015,Industrial-related,Manufacturing,11050
2015,Industrial-related,Other Industrial-related,510
2015,Industrial-related,Utilities,1210
2015,Others,Others,17280
2015,Overall,Overall,1475360
2015,Transport-Related,Transport-related,3490
2016,Commerce and Services-related,Accommodation and Food Services,18540
2016,Commerce and Services-related,Commerce and Services-related,129230
2016,Commerce and Services-related,Financial and Insurance Activities,4680
2016,Commerce and Services-related,Information and Communications,11260
2016,Commerce and Services-related,Other Commerce and Services-related,26810
2016,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",12460
2016,Commerce and Services-related,Real Estate Activities,22440
2016,Commerce and Services-related,Wholesale and Retail Trade,33050
2016,Households,Households,1350540
2016,Industrial-related,Construction,10160
2016,Industrial-related,Industrial-related,23240
2016,Industrial-related,Manufacturing,11350
2016,Industrial-related,Other Industrial-related,500
2016,Industrial-related,Utilities,1240
2016,Others,Others,17910
2016,Overall,Overall,1524640
2016,Transport-Related,Transport-related,3730
2017,Commerce and Services-related,Accommodation and Food Services,19010
2017,Commerce and Services-related,Commerce and Services-related,131860
2017,Commerce and Services-related,Financial and Insurance Activities,4760
2017,Commerce and Services-related,Information and Communications,11550
2017,Commerce and Services-related,Other Commerce and Services-related,28060
2017,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",12500
2017,Commerce and Services-related,Real Estate Activities,23210
2017,Commerce and Services-related,Wholesale and Retail Trade,32770
2017,Households,Households,1399120
2017,Industrial-related,Construction,10950
2017,Industrial-related,Industrial-related,24270
2017,Industrial-related,Manufacturing,11420
2017,Industrial-related,Other Industrial-related,560
2017,Industrial-related,Utilities,1340
2017,Others,Others,17950
2017,Overall,Overall,1577000
2017,Transport-Related,Transport-related,3800
2018,Commerce and Services-related,Accommodation and Food Services,13760
2018,Commerce and Services-related,Commerce and Services-related,129870
2018,Commerce and Services-related,Financial and Insurance Activities,4830
2018,Commerce and Services-related,Information and Communications,12280
2018,Commerce and Services-related,Other Commerce and Services-related,28730
2018,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",13050
2018,Commerce and Services-related,Real Estate Activities,21080
2018,Commerce and Services-related,Wholesale and Retail Trade,36140
2018,Households,Households,1486880
2018,Industrial-related,Construction,11160
2018,Industrial-related,Industrial-related,25640
2018,Industrial-related,Manufacturing,12130
2018,Industrial-related,Other Industrial-related,740
2018,Industrial-related,Utilities,1610
2018,Others,Others,13570
2018,Overall,Overall,1659890
2018,Transport-Related,Transport-related,3950
2019,Commerce and Services-related,Accommodation and Food Services,13760
2019,Commerce and Services-related,Commerce and Services-related,131900
2019,Commerce and Services-related,Financial and Insurance Activities,4750
2019,Commerce and Services-related,Information and Communications,12710
2019,Commerce and Services-related,Other Commerce and Services-related,30150
2019,Commerce and Services-related,"Professional, Scientific & Technical, Administration & Support Activities",13460
2019,Commerce and Services-related,Real Estate Activities,21520
2019,Commerce and Services-related,Wholesale and Retail Trade,35560
2019,Households,Households,1478370
2019,Industrial-related,Construction,11040
2019,Industrial-related,Industrial-related,25950
2019,Industrial-related,Manufacturing,12520
2019,Industrial-related,Other Industrial-related,800
2019,Industrial-related,Utilities,1590
2019,Others,Others,13860
